Company_Code,Company_Name,Metric_Category,Metric_Name,Claimed_Value,Metric_Unit,Claim_Verified,Verification_Details,Discrepancy_Detected,Discrepancy_Level,Trust_Score,Risk_Score,Actual_Environmental_Score,Analysis_Date
MPHASIS,Mphasis,Social,Training Hours per Employee,,Hours,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
MPHASIS,Mphasis,Social,Health and Safety Incidents,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
MPHASIS,Mphasis,Social,CSR Expenditure,,Crores INR,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
MPHASIS,Mphasis,Governance,Board Size,31.0,Count,Reported,Governance metric: 31.0,False,None,6.0,1,2.0,2026-09-03
MPHASIS,Mphasis,Governance,Independent Directors Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
MPHASIS,Mphasis,Governance,Female Directors Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
MPHASIS,Mphasis,Governance,Board Meeting Frequency,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
MPHASIS,Mphasis,Governance,Audit Committee Size,24.0,Count,Reported,Governance metric: 24.0,False,None,6.0,1,2.0,2026-09-03
MPHASIS,Mphasis,Governance,Ethics Policy Violations,1.0,Count,Reported,Governance metric: 1.0,False,None,6.0,1,2.0,2026-09-03
PERSISTENT,Persistent Systems,Environmental,Total Energy Consumption,1.0,GWh,Reported,Environmental metric: 1.0,False,None,6.0,1,,2026-09-03
PERSISTENT,Persistent Systems,Environmental,Renewable Energy Percentage,100.0,%,Partially Verified,Renewable claim 100.0% with moderate env score (nan/10),False,None,6.0,1,,2026-09-03
PERSISTENT,Persistent Systems,Environmental,Total Water Consumption,100.0,KL,Reported,Environmental metric: 100.0,False,None,6.0,1,,2026-09-03
PERSISTENT,Persistent Systems,Environmental,Water Recycled Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
PERSISTENT,Persistent Systems,Environmental,Total Waste Generated,2024.0,MT,Reported,Environmental metric: 2024.0,False,None,6.0,1,,2026-09-03
PERSISTENT,Persistent Systems,Environmental,Waste Recycled Percentage,100.0,%,Reported,Environmental metric: 100.0,False,None,6.0,1,,2026-09-03
PERSISTENT,Persistent Systems,Social,Total Employees,2389.0,Count,Reported,Social metric: 2389.0,False,None,6.0,1,,2026-09-03
PERSISTENT,Persistent Systems,Social,Female Employee Percentage,35.0,%,Reported,Social metric: 35.0,False,None,6.0,1,,2026-09-03
PERSISTENT,Persistent Systems,Social,Employee Turnover Rate,90.0,%,Reported,Social metric: 90.0,False,None,6.0,1,,2026-09-03
PERSISTENT,Persistent Systems,Social,Training Hours per Employee,,Hours,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
