Company_Code,Company_Name,Metric_Category,Metric_Name,Metric_Value,Unit,Page_Number,Verified,Extraction_Method,Confidence_Score,Validation_Status,Needs_Manual_Review,Extraction_Date,Notes
LTIM,LTIMindtree,Environmental,Total Waste Generated,,MT,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
LTIM,LTIMindtree,Environmental,Waste Recycled Percentage,7.0,%,3.0,Auto-extracted,table,0.9,Valid,False,2026-09-03,Method: table; Keyword: waste recycled; Within expected range
LTIM,LTIMindtree,Social,Total Employees,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
LTIM,LTIMindtree,Social,Female Employee Percentage,14.4,%,12.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: female employees; Within expected range
LTIM,LTIMindtree,Social,Employee Turnover Rate,14.4,%,12.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: attrition; Within expected range
LTIM,LTIMindtree,Social,Training Hours per Employee,4.0,Hours,23.0,Auto-extracted,table,0.9,Valid,False,2026-09-03,Method: table; Keyword: skill development; Within expected range
LTIM,LTIMindtree,Social,Health and Safety Incidents,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
LTIM,LTIMindtree,Social,CSR Expenditure,,Crores INR,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
LTIM,LTIMindtree,Governance,Board Size,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
LTIM,LTIMindtree,Governance,Independent Directors Percentage,7.0,%,3.0,Auto-extracted,table,0.9,Valid,False,2026-09-03,Method: table; Keyword: independent directors; Within expected range
LTIM,LTIMindtree,Governance,Female Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
LTIM,LTIMindtree,Governance,Board Meeting Frequency,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
